行政區別,村里別,1_宋楚瑜/余湘,10-018_1_黨籍,2_韓國瑜/張善政,10-018_2_黨籍,3_蔡英文/賴清德,10-018_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
東區,南門里,50,親民黨,352,中國國民黨,654,民主進步黨,1056,14,1070,0,1070,332,1402,76.32
東區,福德里,92,親民黨,892,中國國民黨,1134,民主進步黨,2118,32,2150,0,2150,642,2792,77.01
東區,南市里,46,親民黨,394,中國國民黨,838,民主進步黨,1278,16,1294,0,1294,432,1726,74.97
東區,關帝里,32,親民黨,230,中國國民黨,480,民主進步黨,742,8,750,0,750,222,972,77.16
東區,東門里,28,親民黨,266,中國國民黨,528,民主進步黨,822,10,832,0,832,230,1062,78.34
東區,成功里,42,親民黨,338,中國國民黨,520,民主進步黨,900,12,912,0,912,320,1232,74.03
東區,竹蓮里,40,親民黨,346,中國國民黨,682,民主進步黨,1068,20,1088,0,1088,350,1438,75.66
東區,育賢里,64,親民黨,580,中國國民黨,710,民主進步黨,1354,18,1372,0,1372,1692,3064,44.78
東區,中正里,36,親民黨,288,中國國民黨,514,民主進步黨,838,6,844,0,844,232,1076,78.44
東區,公園里,246,親民黨,1886,中國國民黨,2442,民主進步黨,4574,72,4646,0,4646,1414,6060,76.67
東區,頂竹里,204,親民黨,1488,中國國民黨,2520,民主進步黨,4212,62,4274,0,4274,1270,5544,77.09
東區,南大里,96,親民黨,724,中國國民黨,1322,民主進步黨,2142,32,2174,0,2174,622,2796,77.75
東區,振興里,442,親民黨,3086,中國國民黨,4364,民主進步黨,7892,74,7966,0,7966,2724,10690,74.52
東區,親仁里,68,親民黨,652,中國國民黨,656,民主進步黨,1376,24,1400,0,1400,392,1792,78.12
東區,文華里,374,親民黨,2874,中國國民黨,3484,民主進步黨,6732,76,6808,0,6808,1882,8690,78.34
東區,復中里,272,親民黨,2576,中國國民黨,3310,民主進步黨,6158,82,6240,0,6240,1778,8018,77.82
東區,三民里,318,親民黨,2716,中國國民黨,3852,民主進步黨,6886,94,6980,0,6980,2036,9016,77.42
東區,東園里,534,親民黨,3058,中國國民黨,5082,民主進步黨,8674,128,8802,0,8802,2232,11034,79.77
東區,東勢里,214,親民黨,1292,中國國民黨,2000,民主進步黨,3506,50,3556,0,3556,916,4472,79.52
東區,光復里,192,親民黨,1404,中國國民黨,2420,民主進步黨,4016,64,4080,0,4080,1074,5154,79.16
東區,豐功里,382,親民黨,3014,中國國民黨,3162,民主進步黨,6558,104,6662,0,6662,1674,8336,79.92
東區,武功里,370,親民黨,3812,中國國民黨,1928,民主進步黨,6110,98,6208,0,6208,1558,7766,79.94
東區,綠水里,562,親民黨,3742,中國國民黨,4740,民主進步黨,9044,120,9164,0,9164,2606,11770,77.86
東區,東山里,264,親民黨,2170,中國國民黨,2326,民主進步黨,4760,72,4832,0,4832,1270,6102,79.19
東區,光鎮里,256,親民黨,1950,中國國民黨,2846,民主進步黨,5052,68,5120,0,5120,1548,6668,76.78
東區,新興里,224,親民黨,1696,中國國民黨,2548,民主進步黨,4468,50,4518,0,4518,1278,5796,77.95
東區,柴橋里,388,親民黨,3088,中國國民黨,4058,民主進步黨,7534,96,7630,0,7630,2186,9816,77.73
東區,高峰里,394,親民黨,3370,中國國民黨,4446,民主進步黨,8210,100,8310,0,8310,2710,11020,75.41
東區,仙宮里,132,親民黨,724,中國國民黨,1056,民主進步黨,1912,26,1938,0,1938,464,2402,80.68
東區,光明里,244,親民黨,2184,中國國民黨,1996,民主進步黨,4424,76,4500,0,4500,1284,5784,77.8
東區,立功里,66,親民黨,844,中國國民黨,378,民主進步黨,1288,14,1302,0,1302,466,1768,73.64
東區,軍功里,208,親民黨,2218,中國國民黨,1624,民主進步黨,4050,52,4102,0,4102,1194,5296,77.45
東區,建功里,316,親民黨,3472,中國國民黨,1748,民主進步黨,5536,74,5610,0,5610,1430,7040,79.69
東區,前溪里,224,親民黨,1418,中國國民黨,2420,民主進步黨,4062,58,4120,0,4120,1218,5338,77.18
東區,水源里,246,親民黨,1728,中國國民黨,2970,民主進步黨,4944,68,5012,0,5012,1462,6474,77.42
東區,千甲里,208,親民黨,1382,中國國民黨,1508,民主進步黨,3098,46,3144,0,3144,932,4076,77.13
東區,埔頂里,422,親民黨,2468,中國國民黨,4866,民主進步黨,7756,124,7880,0,7880,1942,9822,80.23
東區,龍山里,886,親民黨,4420,中國國民黨,8098,民主進步黨,13404,182,13586,0,13586,3130,16716,81.28
東區,新莊里,502,親民黨,3260,中國國民黨,4158,民主進步黨,7920,110,8030,0,8030,2262,10292,78.02
東區,仙水里,454,親民黨,2626,中國國民黨,3406,民主進步黨,6486,78,6564,0,6564,1712,8276,79.31
東區,金山里,394,親民黨,3352,中國國民黨,3490,民主進步黨,7236,78,7314,0,7314,2428,9742,75.08
東區,關東里,446,親民黨,3104,中國國民黨,3464,民主進步黨,7014,94,7108,0,7108,2010,9118,77.96
東區,科園里,540,親民黨,4398,中國國民黨,4884,民主進步黨,9822,142,9964,0,9964,2210,12174,81.85
東區,建華里,176,親民黨,1394,中國國民黨,1924,民主進步黨,3494,66,3560,0,3560,1096,4656,76.46
東區,新光里,248,親民黨,1888,中國國民黨,2760,民主進步黨,4896,66,4962,0,4962,1660,6622,74.93
東區,復興里,392,親民黨,2844,中國國民黨,3906,民主進步黨,7142,80,7222,0,7222,2180,9402,76.81
東區,錦華里,152,親民黨,1164,中國國民黨,1336,民主進步黨,2652,46,2698,0,2698,818,3516,76.73
東區,湖濱里,280,親民黨,2100,中國國民黨,2960,民主進步黨,5340,72,5412,0,5412,1398,6810,79.47
東區,明湖里,438,親民黨,2984,中國國民黨,3366,民主進步黨,6788,76,6864,0,6864,2610,9474,72.45
東區,關新里,482,親民黨,1834,中國國民黨,3668,民主進步黨,5984,104,6088,0,6088,1322,7410,82.16
東區,榮光里、親仁里,50,親民黨,666,中國國民黨,714,民主進步黨,1430,24,1454,0,1454,566,2020,71.98
東區,下竹里、寺前里,92,親民黨,630,中國國民黨,948,民主進步黨,1670,28,1698,0,1698,598,2296,73.95
北區,仁德里,40,親民黨,352,中國國民黨,680,民主進步黨,1072,18,1090,0,1090,284,1374,79.33
北區,潛園里,36,親民黨,400,中國國民黨,676,民主進步黨,1112,10,1122,0,1122,336,1458,76.95
北區,崇禮里,102,親民黨,474,中國國民黨,1054,民主進步黨,1630,26,1656,0,1656,558,2214,74.8
北區,興南里,78,親民黨,584,中國國民黨,1066,民主進步黨,1728,18,1746,0,1746,562,2308,75.65
北區,北門里,60,親民黨,448,中國國民黨,888,民主進步黨,1396,30,1426,0,1426,460,1886,75.61
北區,中興里,52,親民黨,376,中國國民黨,712,民主進步黨,1140,14,1154,0,1154,310,1464,78.83
北區,大同里,68,親民黨,486,中國國民黨,614,民主進步黨,1168,16,1184,0,1184,320,1504,78.72
北區,中山里,62,親民黨,330,中國國民黨,796,民主進步黨,1188,14,1202,0,1202,356,1558,77.15
北區,長和里,92,親民黨,690,中國國民黨,1252,民主進步黨,2034,38,2072,0,2072,656,2728,75.95
北區,新民里,128,親民黨,790,中國國民黨,1346,民主進步黨,2264,40,2304,0,2304,716,3020,76.29
北區,民富里,332,親民黨,2372,中國國民黨,4052,民主進步黨,6756,84,6840,0,6840,2586,9426,72.57
北區,水田里,234,親民黨,1666,中國國民黨,2468,民主進步黨,4368,46,4414,0,4414,1352,5766,76.55
北區,文雅里,314,親民黨,2254,中國國民黨,3396,民主進步黨,5964,54,6018,0,6018,1702,7720,77.95
北區,光田里,148,親民黨,1264,中國國民黨,1766,民主進步黨,3178,42,3220,0,3220,930,4150,77.59
北區,士林里,158,親民黨,794,中國國民黨,1662,民主進步黨,2614,32,2646,0,2646,726,3372,78.47
北區,福林里,304,親民黨,2468,中國國民黨,2964,民主進步黨,5736,80,5816,0,5816,1642,7458,77.98
北區,古賢里,50,親民黨,378,中國國民黨,878,民主進步黨,1306,10,1316,0,1316,340,1656,79.47
北區,湳雅里,222,親民黨,1698,中國國民黨,2120,民主進步黨,4040,78,4118,0,4118,1146,5264,78.23
北區,舊社里,456,親民黨,3332,中國國民黨,4896,民主進步黨,8684,120,8804,0,8804,2666,11470,76.76
北區,武陵里,356,親民黨,4660,中國國民黨,1960,民主進步黨,6976,74,7050,0,7050,1988,9038,78.0
北區,南寮里,386,親民黨,3036,中國國民黨,4616,民主進步黨,8038,82,8120,0,8120,3080,11200,72.5
北區,舊港里,30,親民黨,288,中國國民黨,494,民主進步黨,812,16,828,0,828,316,1144,72.38
北區,康樂里,222,親民黨,1590,中國國民黨,2484,民主進步黨,4296,32,4328,0,4328,1302,5630,76.87
北區,港北里,142,親民黨,800,中國國民黨,1536,民主進步黨,2478,38,2516,0,2516,882,3398,74.04
北區,中寮里,260,親民黨,1794,中國國民黨,2856,民主進步黨,4910,66,4976,0,4976,1710,6686,74.42
