行政區別,村里別,1_宋楚瑜/余湘,10-016_1_黨籍,2_韓國瑜/張善政,10-016_2_黨籍,3_蔡英文/賴清德,10-016_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
馬公市,復興里,26,親民黨,218,中國國民黨,358,民主進步黨,602,4,606,0,606,408,1014,59.76
馬公市,長安里,22,親民黨,350,中國國民黨,342,民主進步黨,714,12,726,0,726,356,1082,67.1
馬公市,中央里,28,親民黨,266,中國國民黨,356,民主進步黨,650,4,654,0,654,392,1046,62.52
馬公市,啟明里,64,親民黨,420,中國國民黨,684,民主進步黨,1168,10,1178,0,1178,570,1748,67.39
馬公市,重慶里,42,親民黨,498,中國國民黨,766,民主進步黨,1306,28,1334,0,1334,622,1956,68.2
馬公市,中興里,42,親民黨,444,中國國民黨,472,民主進步黨,958,10,968,0,968,530,1498,64.62
馬公市,光復里,92,親民黨,1000,中國國民黨,1210,民主進步黨,2302,28,2330,0,2330,1426,3756,62.03
馬公市,光榮里,214,親民黨,2880,中國國民黨,2070,民主進步黨,5164,56,5220,0,5220,2786,8006,65.2
馬公市,光明里,92,親民黨,792,中國國民黨,668,民主進步黨,1552,16,1568,0,1568,1028,2596,60.4
馬公市,朝陽里,322,親民黨,2910,中國國民黨,3174,民主進步黨,6406,80,6486,0,6486,3546,10032,64.65
馬公市,陽明里,124,親民黨,1194,中國國民黨,1540,民主進步黨,2858,48,2906,0,2906,1800,4706,61.75
馬公市,重光里,92,親民黨,770,中國國民黨,966,民主進步黨,1828,28,1856,0,1856,1012,2868,64.71
馬公市,西衛里,372,親民黨,2728,中國國民黨,3992,民主進步黨,7092,80,7172,0,7172,3264,10436,68.72
馬公市,西文里,180,親民黨,1666,中國國民黨,1912,民主進步黨,3758,54,3812,0,3812,2184,5996,63.58
馬公市,東文里,222,親民黨,1744,中國國民黨,2012,民主進步黨,3978,34,4012,0,4012,2174,6186,64.86
