行政區別,村里別,余夏夫,孫永昌,徐成國Hane‧Gayaw,林秋美Abi‧Mulu,林聖明,楊德金Kati‧Payo,笛布斯‧顗賚,羅名材Halu‧Lihang,萬榮財Lafi‧Mayaw,蕭民隆,詹金福,陳建忠,陳英妹,高潞‧以用‧巴魕剌Kawlo‧Iyun‧Pacidal,余夏夫_黨籍,孫永昌_黨籍,徐成國Hane‧Gayaw_黨籍,林秋美Abi‧Mulu_黨籍,林聖明_黨籍,楊德金Kati‧Payo_黨籍,笛布斯‧顗賚_黨籍,羅名材Halu‧Lihang_黨籍,萬榮財Lafi‧Mayaw_黨籍,蕭民隆_黨籍,詹金福_黨籍,陳建忠_黨籍,陳英妹_黨籍,高潞‧以用‧巴魕剌Kawlo‧Iyun‧Pacidal_黨籍
光復鄉,北富村,,188.0,,,,334.0,,,348.0,,,,,64.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,南富村,,94.0,,,,382.0,,,374.0,,,,,82.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大全村,,102.0,,,,44.0,,,24.0,,,,,86.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大同村,,88.0,,,,84.0,,,82.0,,,,,148.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大安村,,10.0,,,,22.0,,,4.0,,,,,32.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大富村,,6.0,,,,12.0,,,8.0,,,,,10.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大平村,,184.0,,,,130.0,,,102.0,,,,,356.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大興村,,24.0,,,,138.0,,,40.0,,,,,76.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大華村,,96.0,,,,62.0,,,94.0,,,,,166.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大豐村,,4.0,,,,12.0,,,8.0,,,,,10.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
