行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,有效票數A,無效票數B,投票數C,選舉人數G,已領未投票數D,發出票數E,用餘票數F,投票率H
光復鄉,北富村,柯文哲/吳欣盈,350,762,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,910,910,26,936,1668,0,6,2,0
光復鄉,南富村,柯文哲/吳欣盈,350,759,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,960,960,10,970,1568,0,6,2,0
光復鄉,大全村,柯文哲/吳欣盈,350,1539,賴清德/蕭美琴,民主進步黨,18,侯友宜/趙少康,中國國民黨,850,850,8,858,1474,0,9,3,0
光復鄉,大同村,柯文哲/吳欣盈,350,744,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1200,1200,24,1224,1970,0,6,2,0
光復鄉,大安村,柯文哲/吳欣盈,350,735,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1024,1024,2,1026,1526,0,6,2,0
光復鄉,大富村,柯文哲/吳欣盈,350,777,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,346,346,6,352,574,0,6,2,0
光復鄉,大平村,柯文哲/吳欣盈,350,738,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1090,1090,12,1102,1780,0,6,2,0
光復鄉,大興村,柯文哲/吳欣盈,350,774,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,474,474,6,480,856,0,6,2,0
光復鄉,大華村,柯文哲/吳欣盈,350,732,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1476,1476,24,1500,2378,0,6,2,0
光復鄉,大豐村,柯文哲/吳欣盈,350,780,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,462,462,8,470,780,0,6,2,0
